index,logprob,,,,,,
0,-1.951091559,find . \( -type d ! -name . -prune \) -o \( -mtime -1 -print \),find . -type f -mtime -1 ! -type d,[find],[find],"[[type, name, prune, mtime, print]]","[[type, mtime, type]]"
0,-1.289512598,find $HOME -newer ~joeuser/lastbatch.txt,find ~ -type f -newer /path/to/file,[find],[find],[[newer]],"[[type, newer]]"
1,-2.494478857,ln -sf $keyname     id_rsa,"`ln -s -f ""$keyname"" id_rsa`",[ln],[ln],[[sf]],[[sf]]
2,-1.057089524,"find . -type f|grep -i ""\.jpg$"" |sort","find . -name ""*.jpg"" | sort","[find, grep, sort]","[find, sort]","[[type],[i], []]","[[name], []]"
3,-9.574224414,find . -mtime -1 ! -name '.DS_Store' -type f -printf '%f\n',"find . -type f -name -mmin -1440 ! -name ""*.DS_Store""",[find],[find],"[[mtime, name, type, printf]]","[[type, name, mmin, name]]"
4,-0.6830845689,ps -p $$ | awk '$1 == PP {print $4}' PP=$$,ps -p $$ -o comm=,"[ps, awk, print]","[ps, comm]","[[p],[],[]]","[[p],[o]]"
5,-1.866257989,"find . -type f  -name '*.java' -exec sh -c 'iconv -f cp1252 -t utf-8 ""$1"" > converted && mv converted ""$1""' -- {} \;","find . -name ""*.java"" -exec iconv -f cp1252 -t utf-8 -o {} {} \;","[find,sh,cp1252,utf-8]","[find,cp1252,utf-8]","[[type,name],[exec],[f],[t]]","[[name,exec],[f],[t]]"
6,-1.01300581,find . -perm -600 -print,find -type f -perm /u=rw,[find],[find],"[perm, 600, print]","[type, perm]"
7,-1.658881763,find ./ -type f -exec sed -i 's/string1/string2/' {} \;,"find . -type f -exec sed -i '0,/string1/s/string1/string2/' {} +","[find, sed]","[find, f, sed]","[[type],[exec],[i]]","[[type],[exec],[i]]"
8,-1.91043706,find dir/ -name '*.txt' | tar -c --files-from=- | bzip2 > dir_txt.tar.bz2,"tar -cvf archive.tar $(find dir/ -type f -name ""*.txt"")","[find, tar, bzip2]","[tar, find]","[[name], [c, files-from], []]",
9,-0.925692628,find / -name *.mp3,"```bash
find . -type f -name ""*.mp3""
```",[find],"[find,f]",[[name]],"[[type],[name]]"
10,-1.279457689,find /the/path -type f -name '*.abc' -execdir rename 's/\.\/(.+)\.abc$/version1_$1.abc/' {} \;,"find /the/path -maxdepth 1 -type f -name ""*.abc"" -execdir mv {} $(basename {} .abc).edefg \;","[find,f,rename]","[find,f,mv]","[[type],[name,execdir],[]]","[[maxdepth,type],[name,execdir],[]]"
11,-0.012769904,history,history,[history],[history],[[]],[[]]
12,-0.01980795725,find . -type f -print | xargs -L1 wc -l,wc -l *,"[find,xargs]",[wc],"[[type],[print]]",[[i]]
13,-3.850698733,groups user,`groups <username>`,[groups],[groups],[[]],[[]]
14,-2.991502063,"find . -type f -fprintf /tmp/files.txt ""%i,%b,%M,%n,%u,%g,%s,%CY-%Cm-%Cd %CT,%p\n""","find . -printf ""%i %D %M %n %u %g %s %t %p\n"" > /tmp/files.txt","[find,f]",[find],"[[type],[fprintf]]",[[printf]]
15,-0.0283266305,find . -print,find .,[find],[find],[[print]],[[]]
16,-0.6774115473,du -sh */ | sort -n,du -h --max-depth=1 | sort -h,"[du, sort]","[du, sort]","[[sh],[n]]","[[h], []]"
17,-6.878434542,"ifconfig | grep ""inet addr:"" | grep -v ""127.0.0.1"" | grep -Eo '[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}'  | head -1",ip addr show | grep inet | awk 'NR==2 {print $2}',"[ifconfig,grep]","[show,grep,awk]",,
18,-5.751175352,find /home/family/Music -name '*.m4a' -print0 | xargs -0 -i ffmpeg -i {} -acodec libvorbis -aq 6 -vn -ac 2 {}.ogg,"`find /home/family/Music -type f -name ""*.m4a"" -exec ffmpeg -i {} -c:a libvorbis {}.ogg \;`","[find,xargs,ffmpeg,libvorbis]","[find, f, ffmpeg, libvorbis]","[[name, print0],[0,i],[i],[acodec],[aq,vn,ac]]","[[type],[name],[exec,i],[c]]"
19,-1.151098426,find /home/username/public_html/sites/default/files -type d -exec chmod 770 {} +,find /home/username/public_html/sites/default/files -type d -exec chmod 770 {} \;,"[find, d, chmod]","[find, d, chmod]","[[type, exec],[],[]]","[[type, exec],[],[]]"
23,-1.280785033,"find /path -type f -iname ""*.ext"" -printf ""%h\n""","find /path -type f -iname ""*.ext"" -exec dirname {} \;","[find, f]","[find, f]","[[type], [iname]]","[[type], [iname]]"
